run_id,ts_utc,job,month,parallelism,duration_s,rows_in,rows_out
top100_20260706T120405Z,2026-07-06T12:04:05Z,top100,2026-06,2,10870.7,-1,100
top100_20260706T154448Z,2026-07-06T15:44:48Z,top100,2026-06,2,15624.7,-1,100
monument_Tour_Eiffel_20260706T220000Z,2026-07-06T22:00:00Z,monument_Tour_Eiffel,2026-06,2,1005.9,-1,7
monument_Sagrada_Família_20260706T224843Z,2026-07-06T22:48:43Z,monument_Sagrada_Família,2026-06,2,990.6,-1,7
top100_20260706T232419Z,2026-07-06T23:24:19Z,top100,2026-06,2,881.9,-1,100
top100_20260706T234628Z,2026-07-06T23:46:28Z,top100,2026-06,2,589.7,-1,100
monument_Sagrada_Família_20260706T235623Z,2026-07-06T23:56:23Z,monument_Sagrada_Família,2026-06,2,721.0,-1,7
monument_Mont-Saint-Michel_20260707T000828Z,2026-07-07T00:08:28Z,monument_Mont-Saint-Michel,2026-06,2,696.6,-1,7
top100_20260707T002409Z,2026-07-07T00:24:09Z,top100,2026-06,2,561.0,-1,100
top100_20260707T073240Z,2026-07-07T07:32:40Z,top100,2026-06,2,542.7,-1,100
monument_Mont-Saint-Michel_20260707T074150Z,2026-07-07T07:41:50Z,monument_Mont-Saint-Michel,2026-06,2,727.4,-1,7
monument_Tour_Eiffel_20260707T075408Z,2026-07-07T07:54:08Z,monument_Tour_Eiffel,2026-06,2,638.4,-1,7
top100_20260707T081911Z,2026-07-07T08:19:11Z,top100,2026-06,2,549.5,-1,100
